"state","fdid","fd_name","year","type","total","structure","mobile","mh","veg","rubbish","special","crop","other","not_fire"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2015","Battery","1","1","0","0","0","0","0","0","0","0"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2015","Other","819","168","44","0","47","27","27","0","0","506"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2016","Battery","1","1","0","0","0","0","0","0","0","0"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2016","Other","765","142","70","1","21","32","23","0","0","476"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2017","Other","20220","146","53","1","104","47","42","0","0","19827"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2018","Battery","1","1","0","0","0","0","0","0","0","0"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2018","Other","26562","211","83","1","108","49","65","1","0","26044"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2019","Other","42978","298","101","1","71","46","70","0","0","42391"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2020","Other","41105","292","94","2","149","72","134","1","0","40361"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2021","Battery","1","0","0","0","0","0","1","0","0","0"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2021","Other","46240","250","108","4","88","85","149","1","0","45555"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2022","Battery","1","1","0","0","0","0","0","0","0","0"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2022","Other","50443","222","123","8","146","74","121","0","0","49749"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2023","Battery","4","4","0","0","0","0","0","0","0","0"
"CO","00520","SOUTH METRO FIRE RESCUE AUTHOR","2023","Other","50937","208","117","6","61","97","82","0","4","50362"
"CO","05909","WEST METRO FIRE RESCUE","2002","Other","21423","246","153","6","96","91","22","1","42","20766"
"CO","05909","WEST METRO FIRE RESCUE","2003","Other","21816","248","143","2","128","69","22","1","41","21162"
